class,release,loc,comment density,wcm,number of attributes,fan-in,fan-out,cbo,normalized lcom,rfc,creation age,last update age,total loc touched,release loc touched,normalized total churn,normalized release churn,total number of commits,release number of commits,total number of authors,release number of authors,total number of fixes,release number of fixes,average commit change density,number of smells,buggy
storm-core\src\jvm\storm\trident\operation\TridentMultiReducerContext.java,1,14,0.0,2,1,8,3,3,0.0,1,1,0,19,19,1.3571428,1.3571428,1,1,1,1,0,0,1.3571428,0,false
storm-core\src\jvm\backtype\storm\utils\ThriftTopologyUtils.java,1,38,0.0,8,0,1,7,5,0.0,9,1,0,41,41,1.0789474,1.0789474,1,1,1,1,0,0,1.0789474,1,true
storm-core\src\jvm\backtype\storm\scheduler\Cluster.java,1,327,0.33333334,71,5,9,9,9,0.84000003,75,1,0,418,418,1.2782874,1.2782874,1,1,1,1,0,0,1.2782874,3,false
storm-core\src\jvm\storm\trident\spout\RichSpoutBatchIdSerializer.java,1,16,0.0,2,0,1,5,5,0.0,2,1,0,21,21,1.3125,1.3125,1,1,1,1,0,0,1.3125,0,false
storm-core\src\jvm\storm\trident\state\map\CachedBatchReadsMap.java,1,48,0.020833334,8,2,3,4,4,0.4,12,1,0,63,63,1.3125,1.3125,1,1,1,1,0,0,1.3125,1,false
storm-core\src\jvm\storm\trident\operation\builtin\FirstN.java,1,88,0.0,4,1,0,7,7,0.33333334,3,1,0,108,108,1.2272727,1.2272727,1,1,1,1,0,0,1.2272727,2,false
storm-core\src\jvm\storm\trident\state\JSONTransactionalSerializer.java,1,28,0.0,4,0,0,3,3,0.0,7,1,0,33,33,1.1785715,1.1785715,1,1,1,1,0,0,1.1785715,0,false
storm-core\src\jvm\storm\trident\planner\BridgeReceiver.java,1,14,0.0,2,1,1,6,5,0.0,1,1,0,21,21,1.5,1.5,1,1,1,1,0,0,1.5,0,false
storm-core\src\jvm\backtype\storm\spout\SleepSpoutWaitStrategy.java,1,18,0.0,3,1,0,1,1,0.0,3,1,0,24,24,1.3333334,1.3333334,1,1,1,1,0,0,1.3333334,0,false
storm-core\src\jvm\backtype\storm\hooks\info\SpoutFailInfo.java,1,11,0.09090909,1,3,2,0,0,0.0,0,1,0,13,13,1.1818181,1.1818181,1,1,1,1,0,0,1.1818181,0,false
storm-core\src\jvm\backtype\storm\topology\base\BasePartitionedTransactionalSpout.java,1,5,0.0,0,0,0,3,3,0.0,0,1,0,8,8,1.6,1.6,1,1,1,1,0,0,1.6,2,false
storm-core\src\jvm\backtype\storm\utils\RotatingMap.java,1,89,0.123595506,1,0,0,2,2,0.0,0,1,0,107,107,1.2022471,1.2022471,1,1,1,1,0,0,1.2022471,3,false
storm-core\src\jvm\backtype\storm\utils\Utils.java,1,352,0.042613637,78,1,44,36,24,1.0,101,1,0,391,391,1.1107955,1.1107955,3,3,2,2,0,0,0.55539775,10,true
storm-core\src\jvm\storm\trident\planner\PartitionNode.java,1,28,0.035714287,3,1,0,5,4,0.0,8,1,0,35,35,1.25,1.25,1,1,1,1,0,0,1.25,2,false
storm-core\src\jvm\storm\trident\operation\Operation.java,1,7,0.0,2,0,10,1,1,0.0,0,1,0,9,9,1.2857143,1.2857143,1,1,1,1,0,0,1.2857143,0,false
storm-netty\src\jvm\backtype\storm\messaging\netty\StormServerPipelineFactory.java,1,17,0.23529412,2,1,1,8,6,0.0,2,1,0,50,50,2.9411764,2.9411764,4,4,1,1,1,1,0.7352941,0,false
storm-core\src\jvm\storm\trident\testing\IFeeder.java,1,4,0.0,1,0,2,0,0,0.0,0,1,0,6,6,1.5,1.5,1,1,1,1,0,0,1.5,0,false
storm-core\src\jvm\storm\trident\state\map\MapCombinerAggStateUpdater.java,1,55,0.0,7,6,1,22,13,0.5,12,1,0,66,66,1.2,1.2,1,1,1,1,0,0,1.2,1,false
storm-core\src\jvm\storm\trident\util\IndexedEdge.java,1,26,0.0,5,3,3,2,2,0.16666667,2,1,0,33,33,1.2692307,1.2692307,1,1,1,1,0,0,1.2692307,0,false
storm-core\src\jvm\backtype\storm\tuple\MessageId.java,1,67,0.0,15,1,5,3,3,0.41666666,15,1,0,81,81,1.2089552,1.2089552,1,1,1,1,0,0,1.2089552,1,false
storm-core\src\jvm\storm\trident\operation\ReducerAggregator.java,1,7,0.0,2,0,6,2,2,0.0,0,1,0,9,9,1.2857143,1.2857143,1,1,1,1,0,0,1.2857143,0,false
storm-core\src\jvm\backtype\storm\serialization\KryoTupleSerializer.java,1,28,0.32142857,3,3,0,9,8,0.0,12,1,0,43,43,1.5357143,1.5357143,1,1,1,1,0,0,1.5357143,0,false
storm-core\src\jvm\backtype\storm\hooks\info\BoltAckInfo.java,1,12,0.083333336,1,3,2,1,1,0.0,0,1,0,15,15,1.25,1.25,1,1,1,1,0,0,1.25,0,false
storm-core\src\jvm\backtype\storm\state\ISynchronizeOutputCollector.java,1,5,0.0,1,0,2,0,0,0.0,0,1,0,7,7,1.4,1.4,1,1,1,1,0,0,1.4,0,false
storm-core\src\jvm\backtype\storm\utils\ServiceRegistry.java,1,24,0.041666668,3,2,3,0,0,0.0,5,1,0,30,30,1.25,1.25,1,1,1,1,0,0,1.25,2,false
storm-core\src\jvm\backtype\storm\generated\TopologyInitialStatus.java,1,34,0.20588236,5,1,2,1,1,0.0,0,1,0,44,44,1.2941177,1.2941177,1,1,1,1,0,0,1.2941177,5,false
storm-core\src\jvm\storm\trident\operation\builtin\Sum.java,1,18,0.0,3,0,0,2,2,0.0,2,1,0,25,25,1.3888888,1.3888888,1,1,1,1,0,0,1.3888888,0,false
storm-core\src\jvm\storm\trident\state\Serializer.java,1,6,0.0,2,0,3,2,2,0.0,0,1,0,9,9,1.5,1.5,1,1,1,1,0,0,1.5,0,false
storm-core\src\jvm\storm\trident\operation\impl\ReducerAggStateUpdater.java,1,28,0.0,4,1,0,9,8,0.5,2,1,0,36,36,1.2857143,1.2857143,1,1,1,1,0,0,1.2857143,2,false
storm-core\src\jvm\backtype\storm\generated\ExecutorInfo.java,1,344,0.075581394,72,9,15,21,9,0.8505747,49,1,0,420,420,1.2209302,1.2209302,1,1,1,1,0,0,1.2209302,46,false
storm-core\src\jvm\backtype\storm\testing\OpaqueMemoryTransactionalSpout.java,1,138,0.036231883,2,0,0,1,1,0.0,0,1,0,169,169,1.2246376,1.2246376,1,1,1,1,0,0,1.2246376,4,false
storm-core\src\jvm\backtype\storm\security\serialization\BlowfishTupleSerializer.java,1,60,0.16666667,7,3,1,10,10,0.41666666,16,1,0,72,72,1.2,1.2,1,1,1,1,0,0,1.2,4,false
storm-core\src\jvm\backtype\storm\testing\KeyedCountingCommitterBolt.java,1,4,0.0,0,0,0,2,2,0.0,0,1,0,7,7,1.75,1.75,1,1,1,1,0,0,1.75,0,false
storm-core\src\jvm\backtype\storm\transactional\TransactionAttempt.java,1,32,0.03125,9,2,15,1,1,0.35714287,2,1,0,44,44,1.375,1.375,1,1,1,1,0,0,1.375,2,false
storm-core\src\jvm\storm\trident\util\TridentUtils.java,1,101,0.02970297,22,2,5,12,12,0.7777778,23,1,0,115,115,1.1386138,1.1386138,1,1,1,1,0,0,1.1386138,5,true
storm-core\src\jvm\backtype\storm\testing\IdentityBolt.java,1,20,0.0,3,1,0,6,5,0.33333334,3,1,0,25,25,1.25,1.25,1,1,1,1,0,0,1.25,0,false
storm-core\src\jvm\storm\trident\planner\processor\MultiReducerProcessor.java,1,66,0.0,9,6,0,11,11,0.5,19,1,0,76,76,1.1515151,1.1515151,1,1,1,1,0,0,1.1515151,0,false
storm-core\src\jvm\backtype\storm\hooks\info\SpoutAckInfo.java,1,11,0.09090909,1,3,2,0,0,0.0,0,1,0,13,13,1.1818181,1.1818181,1,1,1,1,0,0,1.1818181,0,false
storm-core\src\jvm\storm\trident\planner\ProcessorNode.java,1,12,0.083333336,1,3,1,3,3,0.33333334,0,1,0,16,16,1.3333334,1.3333334,1,1,1,1,0,0,1.3333334,0,false
storm-netty\src\jvm\backtype\storm\messaging\netty\ControlMessage.java,1,40,0.275,7,1,6,3,3,0.4,7,1,0,243,243,6.075,6.075,7,7,1,1,1,1,0.86785716,3,false
storm-core\src\jvm\backtype\storm\topology\IRichSpout.java,1,8,0.625,0,0,7,2,2,0.0,0,1,0,12,12,1.5,1.5,1,1,1,1,0,0,1.5,0,false
storm-core\src\jvm\backtype\storm\generated\DRPCExecutionException.java,1,264,0.07954545,55,4,8,22,9,0.8333333,37,1,0,328,328,1.2424242,1.2424242,1,1,1,1,0,0,1.2424242,33,false
storm-core\src\jvm\backtype\storm\generated\NullStruct.java,1,176,0.09090909,28,2,4,17,7,0.9722222,22,1,0,225,225,1.2784091,1.2784091,1,1,1,1,0,0,1.2784091,30,false
storm-core\src\jvm\storm\trident\state\map\CachedMap.java,1,52,0.09615385,9,2,1,5,4,0.25,13,1,0,62,62,1.1923077,1.1923077,1,1,1,1,0,0,1.1923077,0,false
storm-core\src\jvm\backtype\storm\testing\TestKryoDecorator.java,1,11,0.0,1,0,0,3,3,0.0,1,1,0,14,14,1.2727273,1.2727273,1,1,1,1,0,0,1.2727273,3,false
storm-netty\src\jvm\backtype\storm\messaging\netty\MessageDecoder.java,1,39,0.64102566,6,0,2,8,6,0.0,8,1,0,90,90,2.3076923,2.3076923,5,5,1,1,0,0,0.46153846,2,false
storm-core\src\jvm\backtype\storm\metric\api\IReducer.java,1,6,0.0,3,0,7,1,1,0.0,0,1,0,7,7,1.1666666,1.1666666,1,1,1,1,0,0,1.1666666,0,false
storm-netty\src\jvm\backtype\storm\messaging\netty\MessageBatch.java,1,119,0.25210086,26,3,5,6,5,0.51515156,20,1,0,159,159,1.3361344,1.3361344,2,2,1,1,0,0,0.6680672,16,false
storm-core\src\jvm\backtype\storm\testing\FixedTuple.java,1,20,0.0,3,2,3,0,0,0.0,1,1,0,25,25,1.25,1.25,1,1,1,1,0,0,1.25,0,false
storm-core\src\jvm\backtype\storm\testing\CompleteTopologyParam.java,1,42,0.35714287,8,4,0,3,2,0.75,0,1,0,50,50,1.1904762,1.1904762,1,1,1,1,0,0,1.1904762,0,false
storm-core\src\jvm\storm\trident\operation\impl\CombinerAggStateUpdater.java,1,31,0.0,5,1,0,9,8,0.5,6,1,0,39,39,1.2580645,1.2580645,1,1,1,1,0,0,1.2580645,2,false
storm-core\src\jvm\backtype\storm\utils\LocalState.java,1,59,0.06779661,14,1,1,10,4,0.5555556,15,1,0,73,73,1.2372881,1.2372881,1,1,1,1,0,0,1.2372881,2,false
storm-core\src\jvm\storm\trident\testing\Split.java,1,15,0.0,3,0,0,4,4,0.0,4,1,0,19,19,1.2666667,1.2666667,1,1,1,1,0,0,1.2666667,0,false
